country,male_height,female_height,male_life,female_life,continent,develope,hemisphere
比利时,179.9,165.5,77.9,83.02,欧洲,是,北
波兰,177.3,164.6,73,81.14,欧洲,是,北
德国,178.3,165.9,78.1,83.06,欧洲,是,北
中国,175.7,163.5,73.9,77.02,亚洲,否,北
埃及,165.4,157.3,68.7,73.05,非洲,否,北
伊朗,172.7,159.7,73.9,76.22,亚洲,否,北
南非,166.7,158,54.8,59.11,非洲,否,南
土耳其,173,160.5,71.5,78.12,亚洲,否,北
韩国,173.7,162.3,77.9,84.63,亚洲,是,北
巴西,172.5,160.9,70.2,77.86,南美洲,否,南
印度,164.9,152.6,66.1,68.93,亚洲,否,北
加拿大,176.5,163.9,79.6,83.78,北美洲,是,北
日本,170.7,157.8,80.9,86.58,亚洲,是,北
英国,177.5,164.4,78.4,82.39,欧洲,是,北
阿根廷,171.6,159.2,72.1,79.83,南美洲,否,南
西班牙,175,163.4,79.4,85.05,欧洲,是,北
葡萄牙,171.5,163,77.4,83.5,欧洲,是,北
美国,177.1,163.5,76.4,81.25,北美洲,是,北
蒙古,169.1,158.2,64.7,73.29,亚洲,否,北
意大利,175.6,164.6,80,86.49,欧洲,是,北
奥地利,177.4,164.6,78.4,83.59,欧洲,是,北
澳大利亚,178,165.9,79.9,84.28,大洋洲,是,南
柬埔寨,160.8,152.9,65,69.55,亚洲,否,北
马来西亚,167.9,156.3,72.2,76.88,亚洲,否,北
沙特阿拉伯,166.6,155.9,72.8,75.47,亚洲,是,北
墨西哥,169,156.8,74,78.93,北美洲,否,北
瑞士,178.4,163.5,80.2,85.23,欧洲,是,北
智利,170.4,159.4,78,84.12,南美洲,否,南
朝鲜,172,159,66,73.27,亚洲,否,北
瑞典,178.2,167.7,80,83.71,欧洲,是,北
荷兰,182.5,168.7,79.3,83.14,欧洲,是,北
泰国,167.8,157.9,70.8,77.58,亚洲,否,北
菲律宾,161.2,149.6,64.7,71.55,亚洲,否,北
